word	occu	freq-per-mill	usual	rank	racio
,	356	94680.85	370370.37	0	0.26
de	187	49734.04	137316.72	2	0.36
o	176	46808.51	103069.82	6	0.45
ser	158	42021.28	26445.83	36	1.59
.	131	34840.43	175438.60	3	0.20
e	114	30319.15	149253.73	4	0.20
que	100	26595.74	103092.78	7	0.26
eu	87	23138.30	13798.00	63	1.68
em	82	21808.51	52000.24	10	0.42
meu	80	21276.60	5540.50	137	3.84
um	70	18617.02	59922.07	13	0.31
a	67	17819.15	60791.09	5	0.29
não	57	15159.57	42194.09	21	0.36
ter	51	13563.83	5070.85	80	2.67
para	42	11170.21	72992.70	11	0.15
mas	40	10638.30	21413.28	44	0.50
muito	38	10106.38	17006.86	50	0.59
com	38	10106.38	68027.21	12	0.15
porque	37	9840.43	7651.11	128	1.29
nós	30	7978.72	6009.41	237	1.33
dia	29	7712.77	13308.50	67	0.58
estar	27	7180.85	8594.54	238	0.84
esse	26	6914.89	6340.79	125	1.09
lá	25	6648.94	3835.83	258	1.73
então	24	6382.98	5032.71	196	1.27
também	24	6382.98	19723.87	48	0.32
mais	24	6382.98	36101.08	25	0.18
?	23	6117.02	19342.36	49	0.32
ir	22	5851.06	2766.65	439	2.11
pai	22	5851.06	1489.71	552	3.93
gostar	21	5585.11	482.55	3470	11.57
por	20	5319.15	34353.74	22	0.15
assim	20	5319.15	8354.22	117	0.64
infância	19	5053.19	426.31	2343	11.85
escola	19	5053.19	1812.58	549	2.79
seu	18	4787.23	22409.71	42	0.21
falar	18	4787.23	1274.56	409	3.76
já	17	4521.28	16750.42	57	0.27
ou	16	4255.32	28011.20	33	0.15
sempre	16	4255.32	9737.10	100	0.44
mesmo	16	4255.32	13183.44	66	0.32
avó	15	3989.36	155.10	5874	25.72
isso	15	3989.36	13755.16	70	0.29
poder	14	3723.40	7204.90	275	0.52
casa	14	3723.40	6910.85	142	0.54
parte	12	3191.49	8718.40	112	0.37
só	12	3191.49	10131.71	96	0.32
sim	12	3191.49	2233.64	445	1.43
fazer	12	3191.49	6659.39	82	0.48
achar	12	3191.49	1131.30	2396	2.82
se	11	2925.53	37453.18	24	0.08
criança	11	2925.53	2544.49	758	1.15
aquele	11	2925.53	1138.71	677	2.57
brincadeira	11	2925.53	200.05	4752	14.62
algum	11	2925.53	3608.72	379	0.81
ano	10	2659.57	11812.28	93	0.23
você	10	2659.57	17636.68	54	0.15
quando	10	2659.57	13568.52	71	0.20
irmão	10	2659.57	629.99	1554	4.22
mãe	10	2659.57	1875.40	484	1.42
ele	10	2659.57	23242.56	62	0.11
Carina	9	2393.62	32.95	30343	72.64
até	9	2393.62	16207.46	59	0.15
hoje	9	2393.62	6035.00	163	0.40
eles	9	2393.62	11113.57	152	0.22
bem	9	2393.62	13947.00	69	0.17
como	9	2393.62	31545.74	29	0.08
haver	9	2393.62	3002.30	1765	0.80
outro	9	2393.62	5948.34	167	0.40
nosso	8	2127.66	4913.09	173	0.43
café	8	2127.66	757.75	1317	2.81
pronto	8	2127.66	497.34	2008	4.28
Pronto	8	2127.66	497.34	8489	4.28
ainda	8	2127.66	14144.27	68	0.15
agora	8	2127.66	5109.86	193	0.42
momento	8	2127.66	2601.56	201	0.82
saber	8	2127.66	2856.42	283	0.74
amiga	8	2127.66	464.35	1853	4.58
realmente	8	2127.66	1942.88	512	1.10
neve	8	2127.66	194.22	5146	10.95
dizer	7	1861.70	2587.33	318	0.72
pessoa	7	1861.70	8107.66	244	0.23
descrever	7	1861.70	164.69	5658	11.30
ela	7	1861.70	44198.96	98	0.04
dois	7	1861.70	6177.76	127	0.30
grande	6	1595.74	7500.17	116	0.21
pequeno	6	1595.74	1074.82	911	1.48
querer	6	1595.74	960.66	1953	1.66
brincar	6	1595.74	193.67	4420	8.24
novo	6	1595.74	3636.72	176	0.44
Mãe	6	1595.74	2054.65	4088	0.78
Natureza	6	1595.74	1353.73	6245	1.18
fazíamos	6	1595.74	30.29	33013	52.68
adorar	6	1595.74	60.95	7183	26.18
primo	6	1595.74	67.31	7787	23.71
sopa	6	1595.74	186.23	5367	8.57
nunca	6	1595.74	3653.64	271	0.44
aquilo	6	1595.74	806.00	1238	1.98
bom	6	1595.74	3091.21	216	0.52
exemplo	6	1595.74	4334.63	228	0.37
voltar	6	1595.74	503.01	1091	3.17
tarde	5	1329.79	2208.97	450	0.60
começar	5	1329.79	1157.81	861	1.15
passar	5	1329.79	903.90	531	1.47
fim	5	1329.79	4189.36	236	0.32
pergunta	5	1329.79	569.44	1671	2.34
quarto	5	1329.79	1219.96	817	1.09
depois	5	1329.79	7209.81	136	0.18
primeiro	5	1329.79	5072.42	153	0.26
mudar	5	1329.79	100.97	1047	13.17
termos	5	1329.79	1385.62	719	0.96
bastante	5	1329.79	2527.17	393	0.53
todo	5	1329.79	11287.58	131	0.12
quase	5	1329.79	3271.18	303	0.41
tirar	5	1329.79	382.81	1167	3.47
ver	5	1329.79	3346.77	197	0.40
dar	5	1329.79	956.76	255	1.39
obviamente	5	1329.79	185.47	5389	7.17
professor	5	1329.79	1159.62	795	1.15
marcar	5	1329.79	267.10	3648	4.98
quatro	5	1329.79	2787.84	356	0.48
ficar	5	1329.79	1549.18	325	0.86
entrevista	4	1063.83	787.59	1267	1.35
Ronfe	4	1063.83	3.14	318772	339.12
vir	4	1063.83	579.09	1374	1.84
próximo	4	1063.83	1448.14	430	0.73
ambiente	4	1063.83	2354.60	422	0.45
vez	4	1063.83	5503.58	108	0.19
bocadinho	4	1063.83	72.07	13872	14.76
feliz	4	1063.83	670.32	952	1.59
buscar	4	1063.83	550.15	1815	1.93
